Date,Open,High,Low,Close
27-March-2018,704.48,710.30,704.48,708.14,
28-March-2018,705.38,708.53,702.00,703.67,
2-April-2018,705.55,717.01,704.72,716.05,
3-April-2018,715.51,718.44,712.69,717.58,
4-April-2018,718.38,719.50,706.34,707.20,
5-April-2018,711.78,721.74,711.78,721.09,
6-April-2018,720.12,726.66,718.08,725.52,
9-April-2018,726.59,731.68,723.97,727.78,
10-April-2018,727.56,730.79,723.94,725.16,
11-April-2018,725.58,727.02,721.01,726.05,
12-April-2018,725.97,726.22,722.80,724.61,
13-April-2018,724.92,729.17,723.97,726.47,
16-April-2018,722.83,733.14,722.15,732.55,
17-April-2018,732.52,735.03,730.18,732.83,
18-April-2018,732.91,735.32,729.89,731.76,
19-April-2018,734.64,736.39,733.49,735.71,
20-April-2018,735.13,735.13,727.82,730.28,
23-April-2018,732.89,736.01,731.07,732.23,
24-April-2018,731.50,735.23,729.41,734.24,
25-April-2018,732.49,734.28,729.15,731.39,
26-April-2018,732.21,733.36,729.60,732.38,
27-April-2018,733.18,737.71,733.18,735.95,
30-April-2018,737.35,739.25,735.72,737.48,
2-May-2018,739.88,740.04,728.27,730.15,
3-May-2018,730.17,730.17,720.23,722.89,
4-May-2018,724.00,724.62,715.96,717.74,
7-May-2018,719.54,726.57,719.39,725.88,
8-May-2018,726.91,727.85,719.60,721.01,
9-May-2018,719.83,723.23,719.15,721.32,
10-May-2018,720.80,722.86,713.71,714.81,
11-May-2018,715.91,722.87,715.37,721.38,
14-May-2018,721.21,722.50,716.85,717.57,
15-May-2018,716.55,726.37,714.37,716.58,
16-May-2018,714.73,719.14,710.97,715.81,
17-May-2018,715.87,718.19,713.66,715.70,
18-May-2018,715.36,716.97,709.55,710.62,
21-May-2018,711.02,711.25,699.57,700.15,
22-May-2018,699.75,706.28,698.43,702.61,
23-May-2018,701.97,702.64,693.16,694.32,
24-May-2018,695.19,697.19,688.75,692.86,
25-May-2018,693.71,705.75,693.70,704.45,
28-May-2018,708.20,712.54,706.98,711.63,
29-May-2018,712.27,714.41,704.68,706.88,
30-May-2018,704.85,708.32,700.89,707.06,
31-May-2018,709.18,712.53,705.47,710.56,
1-June-2018,711.96,713.08,704.56,705.52,
4-June-2018,709.14,711.09,698.25,698.63,
5-June-2018,698.35,700.58,693.45,697.38,
6-June-2018,698.46,707.89,697.36,706.89,
7-June-2018,708.29,717.42,708.29,714.34,
8-June-2018,713.94,715.99,710.45,715.41,
11-June-2018,716.52,721.26,715.92,716.64,
12-June-2018,717.93,723.54,716.79,722.94,
13-June-2018,724.95,725.53,720.08,720.67,
14-June-2018,720.02,721.08,717.18,720.44,
15-June-2018,720.87,722.36,716.68,719.94,
18-June-2018,720.34,720.71,715.99,717.14,
19-June-2018,717.23,717.23,710.10,711.68,
