Date,Open,High,Low,Close
10-April-2019,289.07,290.60,287.83,288.10,
11-April-2019,288.69,289.76,286.47,288.37,
12-April-2019,289.55,290.02,287.78,289.45,
15-April-2019,290.34,291.93,290.26,291.44,
16-April-2019,292.77,293.68,291.38,292.56,
18-April-2019,293.58,293.73,288.77,289.41,
22-April-2019,288.17,288.20,282.68,283.02,
23-April-2019,283.09,284.65,282.05,282.86,
24-April-2019,283.91,286.19,281.49,285.82,
25-April-2019,286.35,288.22,284.16,284.81,
26-April-2019,286.18,287.37,284.84,285.80,
30-April-2019,286.13,287.24,281.50,286.24,
2-May-2019,286.67,286.67,283.58,284.40,
3-May-2019,284.85,286.96,284.58,285.10,
6-May-2019,282.93,283.74,281.24,282.77,
7-May-2019,283.53,284.00,277.33,277.72,
8-May-2019,277.39,277.59,274.18,274.38,
9-May-2019,274.31,274.42,271.27,272.07,
10-May-2019,273.05,273.13,268.78,269.66,
13-May-2019,269.73,269.73,261.60,262.33,
14-May-2019,261.40,266.74,259.68,265.53,
15-May-2019,266.01,267.42,260.67,261.16,
16-May-2019,261.98,267.22,261.07,266.61,
17-May-2019,266.11,267.16,263.22,266.66,
20-May-2019,272.78,281.00,272.78,280.65,
21-May-2019,281.95,281.95,272.85,274.11,
22-May-2019,274.87,277.64,272.88,276.35,
23-May-2019,281.73,284.85,273.48,274.49,
24-May-2019,277.57,282.76,275.96,282.28,
27-May-2019,283.22,289.89,281.56,289.47,
28-May-2019,290.50,291.46,288.71,289.77,
29-May-2019,290.53,290.53,284.85,285.36,
30-May-2019,286.82,286.84,285.11,286.53,
31-May-2019,288.09,288.75,282.18,285.06,
3-June-2019,286.25,287.87,284.66,287.49,
4-June-2019,287.96,289.42,285.93,286.21,
6-June-2019,287.10,287.20,279.52,280.77,
7-June-2019,280.85,283.10,278.86,281.12,
10-June-2019,282.08,282.78,277.55,279.11,
11-June-2019,280.05,282.97,278.78,282.64,
12-June-2019,283.02,284.57,281.13,281.91,
13-June-2019,282.10,282.94,279.10,282.60,
14-June-2019,282.95,283.36,279.55,280.72,
17-June-2019,280.64,280.65,273.14,273.64,
18-June-2019,274.14,276.24,272.84,275.10,
19-June-2019,276.47,278.31,271.62,274.13,
20-June-2019,274.51,279.50,273.14,279.17,
21-June-2019,278.07,280.31,276.99,278.81,
24-June-2019,279.00,279.29,275.53,276.96,
25-June-2019,277.27,281.81,276.05,281.47,
26-June-2019,280.85,286.23,280.15,285.86,
27-June-2019,286.50,288.19,285.80,286.57,
28-June-2019,287.09,287.72,284.04,284.79,
1-July-2019,286.44,286.92,281.46,282.97,
2-July-2019,284.03,285.29,282.03,284.92,
3-July-2019,285.96,287.35,284.15,286.84,
4-July-2019,287.45,288.08,286.41,286.78,
5-July-2019,287.48,287.49,278.98,279.70,
8-July-2019,278.74,278.74,269.73,270.55,
9-July-2019,269.83,272.32,268.56,271.25,
10-July-2019,271.49,272.60,266.41,267.82,
11-July-2019,269.08,270.67,268.04,270.32,
12-July-2019,270.70,273.00,269.69,270.70,
15-July-2019,271.57,271.64,268.04,270.41,
16-July-2019,270.71,274.52,270.31,274.22,
17-July-2019,275.27,275.32,272.70,274.20,
18-July-2019,274.71,274.71,267.62,267.90,
19-July-2019,269.12,270.25,264.71,265.25,
22-July-2019,265.14,268.98,263.35,268.63,
23-July-2019,269.12,269.31,266.21,267.23,
24-July-2019,267.49,267.73,260.66,261.31,
25-July-2019,262.04,262.43,258.29,259.05,
26-July-2019,259.46,260.76,257.40,259.32,
29-July-2019,259.84,259.84,252.40,252.87,
30-July-2019,253.68,254.38,244.80,245.50,
31-July-2019,244.59,250.90,242.84,250.49,
1-August-2019,249.94,249.94,242.95,245.46,
2-August-2019,244.48,245.05,239.87,242.15,
5-August-2019,240.54,240.54,233.81,237.57,
6-August-2019,236.77,241.66,236.57,240.56,
7-August-2019,241.04,241.30,234.67,235.02,
8-August-2019,235.90,238.12,233.32,237.58,
9-August-2019,238.91,240.83,236.38,236.86,
13-August-2019,237.39,237.39,229.90,230.71,
14-August-2019,231.44,235.57,231.27,234.47,
16-August-2019,233.56,236.18,230.98,235.16,
19-August-2019,236.26,236.80,234.24,234.96,
20-August-2019,235.49,235.53,231.57,232.89,
21-August-2019,232.41,232.41,225.09,225.53,
22-August-2019,224.82,224.82,218.79,219.87,
23-August-2019,220.05,228.04,218.27,226.77,
26-August-2019,230.39,230.39,222.25,229.78,
27-August-2019,230.99,234.88,230.64,233.43,
28-August-2019,233.44,234.08,227.90,229.38,
29-August-2019,229.21,230.51,226.58,230.02,
30-August-2019,231.69,232.84,226.81,231.78,
3-September-2019,230.09,230.22,224.98,225.45,
4-September-2019,225.75,228.33,223.65,227.97,
5-September-2019,229.05,235.79,229.05,232.94,
6-September-2019,233.79,237.27,232.96,236.66,
9-September-2019,236.50,238.65,235.05,238.00,
11-September-2019,238.28,242.13,238.24,241.42,
12-September-2019,241.78,244.71,240.07,240.75,
13-September-2019,241.91,245.10,238.02,244.71,
16-September-2019,242.55,242.87,239.73,241.21,
17-September-2019,241.67,242.10,234.28,234.72,
18-September-2019,236.98,237.59,234.61,236.78,
19-September-2019,237.39,237.52,232.34,233.41,
20-September-2019,233.45,249.23,231.45,244.84,
23-September-2019,249.90,251.88,245.63,250.04,
24-September-2019,250.76,250.76,245.54,246.88,
25-September-2019,246.60,246.60,241.13,241.97,
26-September-2019,243.75,248.29,242.40,247.85,
27-September-2019,247.94,247.94,242.76,243.23,
30-September-2019,243.46,243.46,237.35,240.76,
1-October-2019,243.70,245.50,232.32,236.35,
3-October-2019,236.48,239.72,234.84,238.31,
4-October-2019,240.87,241.00,234.92,235.80,
7-October-2019,236.75,236.75,232.00,232.65,
9-October-2019,232.97,237.26,231.34,236.85,
10-October-2019,236.88,237.41,233.59,234.27,
11-October-2019,235.24,237.49,232.17,234.63,
14-October-2019,236.09,239.41,235.38,237.00,
15-October-2019,237.73,240.82,236.54,239.71,
16-October-2019,241.04,242.26,239.39,240.55,
17-October-2019,240.45,243.89,237.82,243.45,
18-October-2019,244.24,249.29,242.94,248.57,
22-October-2019,249.63,252.13,247.88,248.68,
23-October-2019,249.20,250.44,246.45,248.14,
24-October-2019,248.20,248.61,241.76,242.88,
25-October-2019,242.86,244.70,241.51,243.45,
27-October-2019,246.16,246.36,244.84,245.35,
29-October-2019,246.10,251.42,245.30,250.67,
30-October-2019,252.71,254.74,251.43,253.67,
31-October-2019,254.73,259.29,254.00,257.37,
1-November-2019,257.00,259.55,255.48,258.91,
4-November-2019,259.67,264.38,259.43,261.60,
5-November-2019,263.06,263.87,259.24,259.56,
6-November-2019,259.68,260.97,258.22,259.72,
7-November-2019,260.86,261.18,257.93,259.63,
8-November-2019,259.30,260.03,254.89,255.30,
11-November-2019,255.74,258.04,255.00,257.79,
13-November-2019,257.67,258.20,251.23,251.54,
14-November-2019,251.85,251.85,248.06,249.83,
15-November-2019,250.92,252.10,249.23,250.22,
18-November-2019,252.02,254.33,250.33,253.63,
19-November-2019,254.70,254.78,252.81,254.26,
20-November-2019,255.58,257.01,254.78,256.05,
21-November-2019,257.81,257.83,250.39,250.62,
22-November-2019,251.24,253.93,250.40,253.48,
25-November-2019,253.85,257.57,253.79,257.23,
26-November-2019,258.10,259.02,253.47,254.11,
27-November-2019,255.39,255.90,254.15,255.70,
28-November-2019,256.53,259.96,255.77,259.69,
29-November-2019,260.20,261.54,256.51,257.24,
2-December-2019,258.90,258.94,255.52,255.94,
3-December-2019,256.61,256.61,249.01,249.27,
4-December-2019,248.40,253.15,246.77,252.85,
5-December-2019,253.27,253.42,248.86,249.34,
6-December-2019,249.80,250.31,243.50,244.40,
9-December-2019,244.75,247.74,242.95,245.73,
10-December-2019,245.75,246.44,240.62,240.99,
11-December-2019,241.26,242.75,239.15,241.75,
12-December-2019,243.30,246.65,242.61,245.60,
13-December-2019,247.66,250.01,247.40,249.17,
16-December-2019,250.14,250.15,246.50,246.74,
17-December-2019,247.33,250.19,246.43,249.69,
18-December-2019,250.16,250.17,247.74,248.31,
19-December-2019,248.32,249.91,247.03,249.48,
20-December-2019,249.66,251.90,249.07,250.36,
23-December-2019,250.44,252.45,248.83,249.72,
24-December-2019,250.40,251.34,249.56,249.86,
26-December-2019,250.43,250.74,248.78,249.26,
27-December-2019,250.19,251.90,250.11,251.70,
30-December-2019,252.30,252.73,250.09,252.48,
31-December-2019,252.62,253.74,251.94,252.52,
1-January-2020,253.06,253.69,251.58,252.84,
2-January-2020,253.87,257.80,253.79,257.54,
3-January-2020,257.75,257.78,254.36,255.20,
6-January-2020,254.55,254.55,247.26,247.79,
7-January-2020,249.38,251.96,247.46,248.90,
8-January-2020,246.47,248.83,245.57,248.47,
9-January-2020,251.85,253.70,251.54,253.34,
10-January-2020,254.38,256.33,253.19,254.44,
13-January-2020,255.40,256.55,254.47,256.41,
14-January-2020,257.41,258.58,255.57,256.88,
15-January-2020,256.81,258.69,254.43,258.48,
16-January-2020,259.48,259.48,255.52,255.86,
17-January-2020,254.67,255.65,253.44,254.43,
20-January-2020,254.80,254.80,251.47,251.53,
21-January-2020,252.06,252.37,249.12,249.45,
22-January-2020,250.14,250.40,247.12,247.52,
23-January-2020,248.29,252.31,247.91,251.97,
24-January-2020,252.62,255.81,251.44,254.37,
27-January-2020,253.02,253.18,249.49,250.12,
28-January-2020,250.70,251.09,246.48,247.82,
29-January-2020,249.26,251.65,248.94,249.20,
30-January-2020,249.71,249.78,245.55,246.21,
31-January-2020,247.82,247.93,240.62,241.25,
1-February-2020,241.44,242.75,232.38,233.51,
3-February-2020,233.65,235.55,230.75,234.35,
4-February-2020,236.21,240.59,235.50,240.27,
5-February-2020,241.67,246.94,240.33,246.43,
6-February-2020,247.56,249.24,246.72,248.73,
7-February-2020,249.03,249.78,247.22,249.39,
10-February-2020,249.56,249.60,243.61,243.92,
11-February-2020,244.80,246.98,244.72,244.93,
12-February-2020,245.92,246.59,243.02,243.65,
13-February-2020,244.80,244.80,242.51,243.08,
14-February-2020,243.33,245.45,239.61,239.88,
17-February-2020,240.89,240.89,235.53,235.80,
18-February-2020,235.84,235.86,230.40,233.84,
19-February-2020,235.38,237.15,233.86,236.70,
20-February-2020,236.62,239.12,235.03,236.68,
24-February-2020,236.07,236.07,227.68,228.08,
25-February-2020,229.53,230.54,226.63,227.08,
26-February-2020,225.72,226.11,222.15,223.06,
27-February-2020,223.70,223.72,218.54,220.16,
28-February-2020,214.92,214.92,208.22,208.80,
2-March-2020,212.84,214.57,201.46,203.52,
3-March-2020,206.50,212.63,206.05,211.30,
4-March-2020,212.01,212.05,206.14,209.97,
5-March-2020,211.13,213.61,208.72,210.42,
6-March-2020,203.19,203.19,197.99,200.66,
9-March-2020,198.33,198.33,190.86,192.38,
11-March-2020,193.82,193.82,187.84,188.47,
12-March-2020,181.01,181.01,167.99,169.43,
13-March-2020,162.84,181.89,149.50,180.57,
16-March-2020,175.73,179.88,170.38,171.13,
17-March-2020,172.70,182.78,170.60,172.02,
18-March-2020,176.35,176.91,165.14,167.02,
19-March-2020,160.66,164.56,154.34,158.42,
20-March-2020,161.24,170.51,159.77,169.03,
23-March-2020,158.05,158.05,147.40,148.12,
24-March-2020,152.81,155.20,144.93,147.73,
25-March-2020,146.22,153.34,145.77,152.00,
26-March-2020,155.14,156.11,149.31,153.93,
27-March-2020,157.25,159.82,149.13,151.17,
30-March-2020,150.28,150.60,145.70,147.12,
31-March-2020,149.72,156.07,149.45,155.43,
1-April-2020,155.50,155.50,149.60,151.24,
3-April-2020,152.51,153.51,148.68,151.33,
7-April-2020,155.57,162.79,155.18,162.36,
8-April-2020,162.16,170.46,159.77,163.20,
9-April-2020,166.55,169.97,165.68,169.49,
13-April-2020,171.37,171.37,164.04,169.22,
15-April-2020,171.64,175.48,168.01,169.07,
16-April-2020,169.35,172.67,167.30,171.81,
17-April-2020,176.34,177.27,172.30,174.63,
20-April-2020,177.28,177.28,172.66,173.11,
21-April-2020,171.08,171.08,164.60,165.01,
22-April-2020,164.85,165.30,160.23,164.87,
23-April-2020,167.14,169.07,165.45,165.75,
24-April-2020,164.99,166.02,161.38,161.72,
27-April-2020,164.26,164.78,162.94,163.13,
28-April-2020,164.68,165.39,162.87,165.15,
29-April-2020,166.89,170.25,165.66,169.43,
30-April-2020,173.52,181.16,173.20,180.40,
4-May-2020,174.85,174.85,167.48,168.41,
5-May-2020,171.68,173.11,167.17,167.72,
6-May-2020,168.17,169.43,164.30,168.97,
7-May-2020,168.96,170.12,167.00,167.24,
8-May-2020,170.36,170.48,164.09,164.49,
11-May-2020,167.03,168.77,165.92,166.57,
12-May-2020,165.43,167.74,162.91,167.21,
13-May-2020,176.31,176.32,170.52,172.77,
14-May-2020,171.10,171.44,167.89,168.30,
15-May-2020,170.04,170.06,167.34,168.46,
18-May-2020,170.15,170.15,159.77,160.25,
19-May-2020,163.06,165.06,161.08,161.45,
20-May-2020,161.29,166.04,160.70,165.59,
21-May-2020,166.19,167.60,164.92,166.54,
22-May-2020,166.10,166.19,162.65,164.70,
26-May-2020,165.87,167.80,165.72,166.39,
27-May-2020,167.57,170.87,166.03,170.40,
28-May-2020,171.53,173.01,170.77,172.66,
29-May-2020,171.86,176.55,170.97,175.87,
1-June-2020,178.41,183.34,178.41,181.08,
2-June-2020,182.42,183.83,180.40,183.38,
3-June-2020,186.03,188.44,184.29,185.09,
4-June-2020,185.12,187.07,183.20,185.11,
5-June-2020,186.84,193.97,186.46,193.38,
8-June-2020,197.25,201.72,195.83,197.19,
9-June-2020,199.07,199.56,192.29,193.60,
10-June-2020,194.05,195.25,191.73,194.77,
11-June-2020,195.24,196.49,189.61,190.23,
12-June-2020,183.13,193.31,182.18,192.76,
15-June-2020,192.88,193.17,188.65,189.56,
16-June-2020,192.90,194.07,186.39,189.47,
17-June-2020,188.16,190.67,187.64,188.99,
18-June-2020,188.52,192.93,188.12,192.47,
19-June-2020,194.00,196.05,192.60,195.76,
22-June-2020,197.37,201.80,196.68,200.90,
23-June-2020,202.32,205.38,201.24,204.62,
24-June-2020,207.38,208.56,199.68,200.42,
25-June-2020,198.98,202.65,198.21,199.70,
26-June-2020,202.50,203.75,201.49,202.04,
29-June-2020,201.66,202.27,196.08,198.32,
30-June-2020,200.48,201.45,195.66,196.07,
1-July-2020,196.38,198.76,195.10,197.72,
2-July-2020,199.15,200.91,198.52,200.03,
3-July-2020,201.02,201.45,198.98,200.17,
6-July-2020,201.38,205.14,200.78,204.85,
7-July-2020,205.45,205.47,201.00,201.98,
8-July-2020,202.87,205.71,201.15,201.79,
9-July-2020,203.45,205.04,202.89,203.53,
10-July-2020,202.84,203.29,199.53,201.63,
13-July-2020,203.44,204.70,201.72,202.67,
14-July-2020,202.07,202.07,197.12,197.79,
15-July-2020,199.81,200.13,195.27,195.82,
16-July-2020,196.63,198.37,192.58,198.03,
17-July-2020,199.02,204.20,199.02,203.92,
20-July-2020,204.80,205.54,203.74,204.39,
21-July-2020,206.08,208.68,204.83,208.25,
22-July-2020,209.20,210.60,205.55,207.11,
23-July-2020,207.58,210.01,206.66,209.02,
24-July-2020,207.77,208.29,203.80,205.78,
27-July-2020,206.46,207.00,202.57,204.26,
28-July-2020,204.88,207.43,204.84,207.16,
29-July-2020,207.74,210.48,206.62,207.60,
30-July-2020,207.60,208.58,202.10,203.05,
31-July-2020,203.45,204.39,201.72,203.03,
3-August-2020,203.18,204.53,201.92,202.80,
4-August-2020,203.65,204.55,202.19,203.94,
5-August-2020,204.89,208.21,204.88,207.63,
6-August-2020,208.56,210.13,207.79,209.54,
7-August-2020,210.22,211.22,209.42,210.57,
10-August-2020,212.03,214.56,211.56,214.28,
11-August-2020,215.51,217.55,214.63,214.97,
12-August-2020,214.90,215.40,213.17,215.15,
13-August-2020,217.15,217.69,215.48,217.31,
14-August-2020,218.18,218.71,212.68,214.11,
17-August-2020,215.59,217.98,214.42,217.73,
18-August-2020,218.47,219.49,217.76,219.13,
19-August-2020,220.52,221.97,220.05,221.54,
20-August-2020,220.24,224.61,218.93,223.72,
21-August-2020,226.12,227.08,223.58,223.96,
24-August-2020,225.35,225.89,223.13,223.40,
25-August-2020,224.82,225.84,223.24,225.17,
26-August-2020,226.47,227.09,225.44,226.36,
27-August-2020,227.68,228.42,226.84,227.82,
28-August-2020,228.73,231.21,228.49,229.11,
31-August-2020,231.82,233.32,221.57,222.38,
1-September-2020,223.09,226.38,220.60,224.58,
2-September-2020,225.83,228.66,223.83,228.06,
3-September-2020,228.23,229.41,226.66,227.79,
4-September-2020,223.44,226.75,221.58,222.28,
7-September-2020,223.70,224.86,220.30,221.44,
8-September-2020,221.86,221.94,216.41,217.13,
9-September-2020,214.84,216.77,211.13,216.00,
10-September-2020,218.37,219.17,215.28,218.24,
11-September-2020,218.95,219.47,216.88,218.72,
14-September-2020,220.43,220.79,217.77,218.52,
15-September-2020,219.60,220.26,218.52,219.13,
16-September-2020,220.23,221.93,219.62,220.87,
17-September-2020,220.12,220.44,217.52,218.39,
18-September-2020,219.77,220.63,218.19,218.78,
21-September-2020,218.93,219.19,208.92,209.64,
22-September-2020,209.98,210.26,202.77,205.78,
23-September-2020,207.71,208.11,201.31,203.81,
24-September-2020,199.59,200.82,194.81,195.39,
25-September-2020,197.50,202.04,195.85,201.75,
28-September-2020,204.36,209.04,203.78,208.26,
29-September-2020,210.45,210.48,205.52,206.88,
30-September-2020,207.40,207.47,203.03,204.37,
1-October-2020,205.57,207.41,205.24,206.90,
5-October-2020,208.39,209.21,206.18,207.28,
6-October-2020,208.92,209.30,207.24,208.69,
7-October-2020,208.74,208.96,204.45,205.17,
8-October-2020,205.78,207.17,203.74,204.65,
9-October-2020,205.24,207.36,204.61,206.32,
12-October-2020,206.80,207.42,201.71,202.23,
13-October-2020,202.72,202.90,200.95,201.16,
14-October-2020,200.90,201.23,197.81,200.84,
