Date,Open,High,Low,Close
3-April-2020,589.45,590.67,576.43,578.02,
7-April-2020,595.81,618.57,594.04,616.87,
8-April-2020,614.31,643.12,611.62,624.86,
9-April-2020,633.04,641.11,630.29,634.14,
13-April-2020,635.47,635.47,620.38,624.94,
15-April-2020,629.12,643.12,629.12,632.88,
16-April-2020,628.75,635.82,620.11,632.57,
17-April-2020,648.08,649.38,628.52,631.64,
20-April-2020,638.01,639.21,626.83,627.40,
21-April-2020,621.15,622.10,612.91,619.36,
22-April-2020,621.48,632.62,615.00,631.34,
23-April-2020,635.88,642.11,632.32,633.84,
24-April-2020,632.32,632.66,621.36,622.40,
27-April-2020,627.06,637.28,627.06,634.15,
28-April-2020,639.09,639.65,628.85,633.57,
29-April-2020,638.52,641.49,635.61,640.25,
30-April-2020,648.17,664.06,648.11,662.22,
4-May-2020,649.25,649.25,629.11,629.91,
5-May-2020,635.86,640.75,621.44,622.40,
6-May-2020,627.06,627.97,615.55,623.42,
7-May-2020,620.94,623.60,615.61,618.87,
8-May-2020,628.58,629.30,622.50,623.28,
11-May-2020,629.93,635.23,628.10,631.87,
12-May-2020,631.48,632.49,622.64,631.24,
13-May-2020,648.85,649.69,637.45,638.83,
14-May-2020,633.91,640.26,630.04,638.88,
15-May-2020,641.84,642.11,632.45,633.60,
18-May-2020,636.53,636.53,618.56,620.22,
19-May-2020,624.57,630.35,621.52,624.43,
20-May-2020,625.32,628.59,622.53,627.26,
21-May-2020,630.70,637.35,629.45,632.75,
22-May-2020,631.00,636.11,629.42,632.25,
26-May-2020,636.51,637.36,631.00,633.49,
27-May-2020,635.36,643.90,629.89,642.49,
28-May-2020,645.28,656.84,642.77,655.59,
29-May-2020,654.54,676.53,651.27,674.12,
1-June-2020,680.11,686.34,678.82,680.45,
2-June-2020,685.23,687.91,679.61,682.13,
3-June-2020,687.93,690.49,681.72,683.12,
4-June-2020,684.04,688.26,677.78,684.33,
5-June-2020,690.63,692.23,686.19,690.53,
